Subject,counterBalance,counterBalance.Cycle,counterBalance.Sample,Running[Block],Trial,consonant,filename[Trial],filler,isHigh,isTarget,Perception.Duration[Trial],Perception.OffsetTime[Trial],Perception.OnsetTime[Trial],Perception.RESP[Trial],Perception.RT[Trial],Perception.RTTime[Trial],Running[Trial],Stimuli[Trial],strPattern,sylStr,targetWord,response,accuracy,subACC,wrdACC, targetDur,realRT,subRT,wrdRT,sequence,CV_freq
1,1,2,1,counterBalance,143,ch,TP1_57-CVCC-SW-38-TRENCH@b.wav,target,n,,3000,2460017,2458688,1.0,1329,2460017,list1,TRENCH@b,SW,CVCC,TRENCH,y,1,0.55,0.620689655,0.5473,781.7,781.7,781.7,CH AH,626
1,1,2,1,counterBalance,146,t,TP1_58-CVC-SW-25-YELLt@sh.wav,target,n,,3000,2470635,2469438,1.0,1193,2470631,list1,YELLt@sh,SW,CVC,YELL,y,1,0.55,0.637931034,0.39522,797.78,797.78,797.78,T AH,5672
1,1,2,1,counterBalance,149,k,TP1_59-CVCC-SW-10-TASK@dge.wav,target,y,,3000,2482134,2480021,1.0,2096,2482117,list1,TASK@dge,SW,CVCC,TASK,y,1,0.55,0.534482759,0.45619,1639.81,1061.40037,1639.81,K AH,5744
1,1,2,1,counterBalance,154,p,TP1_61-CVCC-SW-4-SHRIMP@l.wav,target,y,,3000,2498857,2497671,1.0,1180,2498851,list1,SHRIMP@l,SW,CVCC,SHRIMP,y,1,0.55,0.827586207,0.43478,745.22,745.22,745.22,P AH,1676
1,1,2,1,counterBalance,156,t,TP1_62-CVCC-SW-24-HINT@g.wav,target,n,,3000,2506762,2505188,1.0,1567,2506755,list1,HINT@g,SW,CVCC,HINT,y,1,0.55,0.586206897,0.36068,1206.32,1206.32,1206.32,T AH,5672
1,1,2,1,counterBalance,167,t,TP1_66-CVCC-SW-22-MELT@dge.wav,target,n,,3000,2548878,2547472,1.0,1406,2548878,list1,MELT@dge,SW,CVCC,MELT,y,1,0.55,0.913793103,0.46224,943.76,943.76,943.76,T AH,5672
1,1,2,1,counterBalance,173,k,TP1_69-CVC-SS-16-GLASSkoash.wav,target,y,,3000,2569887,2567522,1.0,2351,2569873,list1,GLASSkoash,SS,CVC,GLASS,y,1,0.55,0.517241379,0.42716,1923.84,1923.84,1053.3556,K OW,2086
1,1,2,1,counterBalance,178,t,TP1_71-CVCC-SS-29-FLINTuth.wav,target,n,,3000,2588767,2586988,1.0,1779,2588767,list1,FLINTuth,SS,CVCC,FLINT,y,1,0.55,0.396551724,0.43849,1340.51,1340.51,1340.51,T AA,1303
1,1,2,1,counterBalance,186,k,TP1_74-CVCC-SS-17-MASKuk.wav,target,y,,3000,2614828,2613505,1.0,1313,2614818,list1,MASKuk,SS,CVCC,MASK,y,1,0.55,0.551724138,0.46266,850.34,850.34,850.34,K AH,5744
3,1,2,1,counterBalance,5,t,TP1_2-CVCC-SW-28-GRUNT@the.wav,target,n,,3000,660205,658366,1.0,1833,660199,list1,GRUNT@the,SW,CVCC,GRUNT,y,1,0.3625,0.327586207,0.34602,1486.98,1486.98,1486.98,T AH,5672
3,1,2,1,counterBalance,10,p,TP1_4-CVC-SS-4-SLIMpol.wav,target,y,,3000,678265,676983,1.0,1267,678250,list1,SLIMpol,SS,CVC,SLIM,y,1,0.3625,0.568965517,0.48187,785.13,785.13,785.13,P AA,1338
3,1,2,1,counterBalance,13,k,TP1_5-CVC-SS-12-MISSkael.wav,target,y,,3000,689065,687633,1.0,1423,689056,list1,MISSkael,SS,CVC,MISS,y,1,0.3625,0.620689655,0.32601,1096.99,1096.99,1096.99,K AE,1904
3,1,2,1,counterBalance,23,t,TP1_9-CVC-SS-22-GELtaudge.wav,target,n,,3000,729685,726916,1.0,2753,729669,list1,GELtaudge,SS,CVC,GEL,y,1,0.3625,0.74137931,0.33903,2413.97,1186.988571,1055.320769,T AW,157
3,1,2,1,counterBalance,28,k,TP1_11-CVCC-SW-14-HUSK@the.wav,target,y,,3000,746745,745383,1.0,1350,746733,list1,HUSK@the,SW,CVCC,HUSK,y,1,0.3625,0.534482759,0.39157,958.43,958.43,958.43,K AH,5744
3,1,2,1,counterBalance,31,p,TP1_12-CVCC-SW-2-CHIMP@dge.wav,target,y,,3000,757525,756133,1.0,1390,757523,list1,CHIMP@dge,SW,CVCC,CHIMP,y,1,0.3625,0.431034483,0.3371,1052.9,1052.9,1052.9,P AH,1676
3,1,2,1,counterBalance,35,t,TP1_14-CVC-SS-30-CLIFFtudge.wav,target,n,,3000,771633,770416,1.0,1205,771621,list1,CLIFFtudge,SS,CVC,CLIFF,y,1,0.3625,0.879310345,0.3529,852.1,852.1,852.1,T AA,1303
3,1,2,1,counterBalance,40,t,TP1_16-CVC-SW-27-GUNt@sh.wav,target,n,,3000,791765,790400,1.0,1348,791748,list1,GUNt@sh,SW,CVC,GUN,y,1,0.3625,0.327586207,0.28683,1061.17,1061.17,1061.17,T AH,5672
3,1,2,1,counterBalance,43,k,TP1_17-CVCC-SS-11-TUSKom.wav,target,y,,3000,802505,801133,1.0,1353,802486,list1,TUSKom,SS,CVCC,TUSK,y,1,0.3625,0.620689655,0.43791,915.09,915.09,915.09,K AA,3316
3,1,2,1,counterBalance,53,d,TP1_21-CVCC-SS-33-BLINDaethe.wav,target,n,,3000,836925,835366,1.0,1547,836913,list1,BLINDaethe,SS,CVCC,BLIND,y,1,0.3625,0.879310345,0.43329,1113.71,1113.71,1113.71,D AE,531
3,1,2,1,counterBalance,64,k,TP1_25-CVCC-SS-13-DESKael.wav,target,y,,3000,874625,873516,1.0,1093,874609,list1,DESKael,SS,CVCC,DESK,y,1,0.3625,0.74137931,0.39713,695.87,695.87,695.87,K AE,1904
3,1,2,1,counterBalance,71,d,TP1_28-CVC-SW-35-QUEENd@rdge.wav,target,n,,3000,899145,897916,1.0,1223,899139,list1,QUEENd@rdge,SW,CVC,QUEEN,y,1,0.3625,0.948275862,0.31881,904.19,904.19,904.19,D AA,878
3,1,2,1,counterBalance,84,t,TP1_33-CVC-SW-21-THINt@p.wav,target,n,,3000,944795,943533,1.0,1251,944784,list1,THINt@p,SW,CVC,THIN,y,1,0.3625,0.413793103,0.29452,956.48,956.48,956.48,T AH,5672
3,1,2,1,counterBalance,90,t,TP1_35-CVC-SS-26-STIFFteig.wav,target,n,,3000,964835,963450,1.0,1383,964833,list1,STIFFteig,SS,CVC,STIFF,y,1,0.3625,0.948275862,0.4725,910.5,910.5,910.5,T EY,1083
3,1,2,1,counterBalance,101,t,TP1_40-CVCC-SW-30-GIFT@dge.wav,target,n,,3000,1001314,1000200,1.0,1108,1001308,list1,GIFT@dge,SW,CVCC,GIFT,y,1,0.3625,0.793103448,0.30744,800.56,800.56,800.56,T AH,5672
3,1,2,1,counterBalance,104,k,TP1_41-CVCC-SS-9-RISKom.wav,target,y,,3000,1011905,1010700,1.0,1195,1011895,list1,RISKom,SS,CVCC,RISK,y,1,0.3625,0.827586207,0.37585,819.15,819.15,819.15,K AA,3316
3,1,2,1,counterBalance,106,t,TP1_42-CVCC-SW-26-LIFT@g.wav,target,n,,3000,1019555,1018183,1.0,1372,1019555,list1,LIFT@g,SW,CVCC,LIFT,y,1,0.3625,0.896551724,0.40401,967.99,967.99,967.99,T AH,5672
3,1,2,1,counterBalance,109,d,TP1_43-CVC-SW-37-CLANd@k.wav,target,n,,3000,1030905,1028966,1.0,1929,1030895,list1,CLANd@k,SW,CVC,CLAN,y,1,0.3625,0.396551724,0.32968,1599.32,1599.32,1599.32,D AH,3692
3,1,2,1,counterBalance,114,p,TP1_45-CVCC-SS-1-STAMPidge.wav,target,y,,3000,1048484,1046566,1.0,1912,1048478,list1,STAMPidge,SS,CVCC,STAMP,y,1,0.3625,0.879310345,0.57557,1336.43,1336.43,1336.43,P IH,1317
3,1,2,1,counterBalance,124,k,TP1_49-CVC-SW-9-KISSk@m.wav,target,y,,3000,1080812,1079867,1.0,939,1080806,list1,KISSk@m,SW,CVC,KISS,y,1,0.3625,0.551724138,0.28677,652.23,652.23,652.23,K AH,5744
3,1,2,1,counterBalance,129,t,TP1_51-CVCC-SS-25-PELTeish.wav,target,n,,3000,1097742,1096367,1.0,1355,1097722,list1,PELTeish,SS,CVCC,PELT,y,1,0.3625,0.551724138,0.42405,930.95,930.95,930.95,T EY,1083
3,1,2,1,counterBalance,141,k,TP1_56-CVCC-SW-12-DISK@l.wav,target,y,,3000,1146564,1144017,1.0,2535,1146552,list1,DISK@l,SW,CVCC,DISK,y,1,0.3625,0.396551724,0.41842,2116.58,1044.762667,1012.813333,K AH,5744
3,1,2,1,counterBalance,156,t,TP1_62-CVCC-SW-24-HINT@g.wav,target,n,,3000,1195815,1194717,1.0,1098,1195815,list1,HINT@g,SW,CVCC,HINT,y,1,0.3625,0.586206897,0.36068,737.32,737.32,737.32,T AH,5672
3,1,2,1,counterBalance,167,t,TP1_66-CVCC-SW-22-MELT@dge.wav,target,n,,3000,1236465,1235233,1.0,1231,1236464,list1,MELT@dge,SW,CVCC,MELT,y,1,0.3625,0.913793103,0.46224,768.76,768.76,768.76,T AH,5672
3,1,2,1,counterBalance,173,k,TP1_69-CVC-SS-16-GLASSkoash.wav,target,y,,3000,1256945,1255133,1.0,1793,1256926,list1,GLASSkoash,SS,CVC,GLASS,y,1,0.3625,0.517241379,0.42716,1365.84,1365.84,1365.84,K OW,2086
3,1,2,1,counterBalance,180,t,TP1_72-CVCC-SS-27-FRONTeish.wav,target,n,,3000,1280093,1278717,1.0,1367,1280084,list1,FRONTeish,SS,CVCC,FRONT,y,1,0.3625,0.603448276,0.39628,970.72,970.72,970.72,T EY,1083
3,1,2,1,counterBalance,190,s,TP1_76-CVC-SS-20-BINsib.wav,target,y,,3000,1314144,1312317,1.0,1825,1314142,list1,BINsib,SS,CVC,BIN,y,1,0.3625,0.293103448,0.22746,1597.54,1597.54,1597.54,S IH,3644
3,1,2,1,counterBalance,192,p,TP1_77-CVC-SW-3-DRUMp@l.wav,target,y,,3000,1324104,1322217,1.0,1878,1324095,list1,DRUMp@l,SW,CVC,DRUM,y,1,0.3625,0.327586207,0.33475,1543.25,1543.25,1543.25,P AH,1676
3,1,2,1,counterBalance,194,k,TP1_78-CVC-SS-10-GRASSkodge.wav,target,y,,3000,1331815,1330417,1.0,1386,1331803,list1,GRASSkodge,SS,CVC,GRASS,y,1,0.3625,0.482758621,0.50687,879.13,879.13,879.13,K AA,3316
4,2,2,1,counterBalance,10,p,TP2_4-CVC-SW-4-SLIMp@l.wav,target,y,,3000,723270,722104,1.0,1159,723263,list2,SLIMp@l,SW,CVC,SLIM,y,1,0.5,0.568965517,0.44377,715.23,715.23,715.23,P AH,1676
4,2,2,1,counterBalance,23,t,TP2_9-CVC-SW-22-GELt@dge.wav,target,n,,3000,773110,771571,1.0,1528,773099,list2,GELt@dge,SW,CVC,GEL,y,1,0.5,0.74137931,0.28467,1243.33,1243.33,1243.33,T AH,5672
4,2,2,1,counterBalance,28,k,TP2_11-CVCC-SS-14-HUSKaethe.wav,target,y,,3000,793000,791371,1.0,1623,792994,list2,HUSKaethe,SS,CVCC,HUSK,y,1,0.5,0.534482759,0.40733,1215.67,1215.67,1215.67,K AE,1904
4,2,2,1,counterBalance,35,t,TP2_14-CVC-SW-30-CLIFFt@dge.wav,target,n,,3000,816960,815671,1.0,1274,816945,list2,CLIFFt@dge,SW,CVC,CLIFF,y,1,0.5,0.879310345,0.38055,893.45,893.45,893.45,T AH,5672
4,2,2,1,counterBalance,38,t,TP2_15-CVC-SS-23-PILLtaug.wav,target,n,,3000,828258,826337,1.0,1919,828256,list2,PILLtaug,SS,CVC,PILL,y,1,0.5,0.655172414,0.28631,1632.69,1632.69,1632.69,T AW,157
4,2,2,1,counterBalance,43,k,TP2_17-CVCC-SW-11-TUSK@m.wav,target,y,,3000,846810,845704,1.0,1104,846808,list2,TUSK@m,SW,CVCC,TUSK,y,1,0.5,0.620689655,0.38215,721.85,721.85,721.85,K AH,5744
4,2,2,1,counterBalance,53,d,TP2_21-CVCC-SW-33-BLIND@the.wav,target,n,,3000,882151,881204,1.0,936,882140,list2,BLIND@the,SW,CVCC,BLIND,y,1,0.5,0.879310345,0.41195,524.05,524.05,524.05,D AH,3692
4,2,2,1,counterBalance,64,k,TP2_25-CVCC-SW-13-DESK@l.wav,target,y,,3000,924060,922854,1.0,1190,924044,list2,DESK@l,SW,CVCC,DESK,y,1,0.5,0.74137931,0.38859,801.41,801.41,801.41,K AH,5744
4,2,2,1,counterBalance,71,d,TP2_28-CVC-SS-35-QUEENdardge.wav,target,n,,3000,950713,949787,1.0,926,950713,list2,QUEENdardge,SS,CVC,QUEEN,y,1,0.5,0.948275862,0.34113,584.87,584.87,584.87,D AA,878
4,2,2,1,counterBalance,79,d,TP2_31-CVCC-SS-32-CHILDap.wav,target,n,,3000,981521,980237,1.0,1282,981519,list2,CHILDap,SS,CVCC,CHILD,y,1,0.5,0.724137931,0.44365,838.35,838.35,838.35,D AE,531
4,2,2,1,counterBalance,82,p,TP2_32-CVCC-SW-3-STUMP@l.wav,target,y,,3000,992881,990921,1.0,1959,992880,list2,STUMP@l,SW,CVCC,STUMP,y,1,0.5,0.74137931,0.55821,1400.79,1400.79,1400.79,P AH,1676
4,2,2,1,counterBalance,87,ch,TP2_34-CVC-SS-39-FUNchoab.wav,target,n,,3000,1011600,1010371,1.0,1211,1011582,list2,FUNchoab,SS,CVC,FUN,y,1,0.5,0.482758621,0.35177,859.23,859.23,859.23,CH OW,87
4,2,2,1,counterBalance,90,t,TP2_35-CVC-SW-26-STIFFt@g.wav,target,n,,3000,1022200,1020971,1.0,1214,1022185,list2,STIFFt@g,SW,CVC,STIFF,y,1,0.5,0.948275862,0.46135,752.65,752.65,752.65,T AH,5672
4,2,2,1,counterBalance,101,t,TP2_40-CVCC-SS-30-GIFTudge.wav,target,n,,3000,1060360,1059321,1.0,1037,1060358,list2,GIFTudge,SS,CVCC,GIFT,y,1,0.5,0.793103448,0.34647,690.53,690.53,690.53,T AA,1303
4,2,2,1,counterBalance,104,k,TP2_41-CVCC-SW-9-RISK@m.wav,target,y,,3000,1071671,1069804,1.0,1853,1071657,list2,RISK@m,SW,CVCC,RISK,y,1,0.5,0.827586207,0.3654,1487.6,1487.6,754.134375,K AH,5744
4,2,2,1,counterBalance,106,t,TP2_42-CVCC-SS-26-LIFTeig.wav,target,n,,3000,1079050,1077988,1.0,1057,1079045,list2,LIFTeig,SS,CVCC,LIFT,y,1,0.5,0.896551724,0.40094,656.06,656.06,656.06,T EY,1083
4,2,2,1,counterBalance,109,d,TP2_43-CVC-SS-37-CLANdauk.wav,target,n,,3000,1090359,1088454,1.0,1899,1090353,list2,CLANdauk,SS,CVC,CLAN,y,1,0.5,0.396551724,0.35424,1544.76,1544.76,1544.76,D AW,257
4,2,2,1,counterBalance,111,p,TP2_44-CVCC-SS-8-PUMPul.wav,target,y,,3000,1097911,1096654,1.0,1251,1097905,list2,PUMPul,SS,CVCC,PUMP,y,1,0.5,0.534482759,0.36606,884.94,884.94,884.94,P AA,1338
4,2,2,1,counterBalance,114,p,TP2_45-CVCC-SW-1-STAMP@dge.wav,target,y,,3000,1111773,1110154,1.0,1615,1111769,list2,STAMP@dge,SW,CVCC,STAMP,y,1,0.5,0.879310345,0.56707,1047.93,1047.93,1047.93,P AH,1676
4,2,2,1,counterBalance,121,k,TP2_48-CVC-SS-17-PASSkuk.wav,target,y,,3000,1135890,1133504,1.0,2369,1135873,list2,PASSkuk,SS,CVC,PASS,y,1,0.5,0.25862069,0.37308,1995.92,1995.92,1995.92,K AH,5744
4,2,2,1,counterBalance,124,k,TP2_49-CVC-SS-9-KISSkom.wav,target,y,,3000,1146618,1145321,1.0,1293,1146614,list2,KISSkom,SS,CVC,KISS,y,1,0.5,0.551724138,0.30126,991.74,991.74,991.74,K AA,3316
4,2,2,1,counterBalance,129,t,TP2_51-CVCC-SW-25-PELT@sh.wav,target,n,,3000,1166689,1165204,1.0,1479,1166683,list2,PELT@sh,SW,CVCC,PELT,y,1,0.5,0.551724138,0.33953,1139.47,1139.47,1139.47,T AH,5672
4,2,2,1,counterBalance,133,t,TP2_53-CVC-SS-31-GOALtul.wav,target,n,,3000,1181049,1179188,1.0,1859,1181047,list2,GOALtul,SS,CVC,GOAL,y,1,0.5,0.24137931,0.372,1487.0,1487.0,1487.0,T AA,1303
4,2,2,1,counterBalance,139,k,TP2_55-CVCC-SW-15-DUSK@dge.wav,target,y,,3000,1201059,1199704,1.0,1338,1201042,list2,DUSK@dge,SW,CVCC,DUSK,y,1,0.5,0.672413793,0.41513,922.87,922.87,922.87,K AH,5744
4,2,2,1,counterBalance,143,ch,TP2_57-CVCC-SS-38-TRENCHoib.wav,target,n,,3000,1215123,1213521,1.0,1597,1215118,list2,TRENCHoib,SS,CVCC,TRENCH,y,1,0.5,0.620689655,0.43994,1157.06,1157.06,1157.06,CH OY,11
4,2,2,1,counterBalance,146,t,TP2_58-CVC-SS-25-YELLteish.wav,target,n,,3000,1228759,1227204,1.0,1543,1228747,list2,YELLteish,SS,CVC,YELL,y,1,0.5,0.637931034,0.345,1198.0,1198.0,1198.0,T EY,1083
4,2,2,1,counterBalance,149,k,TP2_59-CVCC-SS-10-TASKodge.wav,target,y,,3000,1241931,1240788,1.0,1136,1241924,list2,TASKodge,SS,CVCC,TASK,y,1,0.5,0.534482759,0.42617,709.83,709.83,709.83,K AA,3316
4,2,2,1,counterBalance,154,p,TP2_61-CVCC-SS-4-SHRIMPol.wav,target,y,,3000,1261441,1259621,1.0,1810,1261431,list2,SHRIMPol,SS,CVCC,SHRIMP,y,1,0.5,0.827586207,0.4698,1340.2,1340.2,1340.2,P AA,1338
4,2,2,1,counterBalance,156,t,TP2_62-CVCC-SS-24-HINTeig.wav,target,n,,3000,1270530,1267754,1.0,2767,1270521,list2,HINTeig,SS,CVCC,HINT,y,1,0.5,0.586206897,0.38438,2382.62,1101.104286,1033.953333,T EY,1083
